Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
467,Patty Mills,36,UTA,PG,17,0,260,4.8,14.2,0.342,3.2,10.6,0.298,1.7,3.5,0.474,0.454,0.9,0.9,1,0.6,3.4,3.9,3.9,2.2,0.6,3,2.2,13.8,93,120,,millspa02
468,Patty Mills,36,LAC,PG,3,0,12,0,12.2,0,0,12.2,0,0,0,,0,0,0,,0,0,0,12.2,4.1,0,0,4.1,0,59,110,,millspa02
469,Dru Smith,27,MIA,SG,14,1,268,5.8,11.3,0.508,3,5.6,0.533,2.8,5.8,0.484,0.639,1.7,2.2,0.75,2.2,4.5,6.7,4.3,3.9,1.1,3.2,5.6,16.1,115,109,,smithdr01
470,Isaiah Wong,24,CHO,SG,20,0,265,7.6,19.5,0.39,2.4,6.1,0.394,5.2,13.4,0.389,0.452,4.6,6.3,0.735,2.6,3.3,5.9,5.2,2,0,3.3,3.9,22.3,103,117,,wongis01
471,Doug McDermott,33,SAC,SF,31,3,260,6.7,15.8,0.424,5.8,13.4,0.431,0.9,2.4,0.385,0.606,0.6,0.9,0.6,0.4,2.8,3.2,0.7,0.7,0.2,0.9,5,19.7,116,121,,mcderdo01
472,Antonio Reeves,24,NOP,SG,25,0,260,7.2,18,0.402,3,9.5,0.314,4.3,8.5,0.5,0.485,1.3,1.5,0.875,1.7,3.5,5.2,3.5,1.7,0.2,1.7,2,18.7,105,123,,reevean01
473,Jamal Cain,25,NOP,SF,21,0,259,4.8,11.9,0.406,1.9,6.7,0.278,3,5.2,0.571,0.484,2.2,3.4,0.667,3.2,6,9.1,2,1.7,1.3,1.9,4.5,13.8,106,120,,cainja01
474,Karlo Matković,23,NOP,PF,18,2,259,4.8,9.9,0.491,0.9,3,0.313,3.9,6.9,0.568,0.538,2,2,1,4.5,7.8,12.3,2.6,1.9,3.9,3.4,7.1,12.7,108,115,,matkoka01
475,Quenton Jackson,26,IND,PG,18,7,254,7.4,14.4,0.513,1.7,4.5,0.375,5.7,9.8,0.577,0.572,2.8,4,0.714,1.9,3.2,5.1,5.9,1.7,0.9,2.1,6.1,19.3,120,117,,jacksqu01
476,Wendell Moore Jr.,23,2TM,SG,22,1,254,5.1,12.2,0.422,0.8,2.9,0.267,4.4,9.3,0.469,0.453,2.5,2.9,0.867,2.7,6.3,9,4.4,1.9,0.6,1.9,3.2,13.5,111,113,,moorewe01
477,Wendell Moore Jr.,23,DET,SG,20,1,219,5.1,11,0.46,0.9,3.1,0.286,4.2,7.9,0.528,0.5,2.9,3.1,0.929,2.4,7.3,9.7,5.1,2.2,0.7,2,3.3,13.9,120,112,,moorewe01
478,Wendell Moore Jr.,23,CHO,SG,2,0,35,5.6,19.7,0.286,0,1.4,0,5.6,18.3,0.308,0.286,0,1.4,0,4.2,0,4.2,0,0,0,1.4,2.8,11.2,67,124,,moorewe01
479,Elfrid Payton,30,2TM,PG,12,5,253,5,12.5,0.4,0,0.2,0,5,12.3,0.406,0.4,0.2,0.4,0.5,1.2,5.6,6.7,12.5,2.9,1,5.2,3.8,10.2,90,115,,paytoel01
480,Elfrid Payton,30,NOP,PG,7,3,144,7.7,15.4,0.5,0,0.3,0,7.7,15.1,0.511,0.5,0.3,0.7,0.5,1.7,6.4,8,16.1,3.4,1,6.7,3.4,15.8,100,116,,paytoel01
481,Elfrid Payton,30,CHO,PG,5,2,109,1.4,8.6,0.158,0,0,,1.4,8.6,0.158,0.158,0,0,,0.5,4.5,5,7.7,2.3,0.9,3.2,4.5,2.7,61,115,,paytoel01
482,Quinten Post,24,GSW,PF,18,7,252,9.6,19.8,0.485,5.4,12.7,0.424,4.2,7.1,0.595,0.621,1.7,1.7,1,3.3,8.5,11.7,5.2,0.6,0.8,2.1,5.4,26.3,127,114,,postqu01
