Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,MPG,Primary_Position,3PAr,FTr,TS%,AST/TOV,AST_Ratio,PPS,STL+BLK,ORB_Rate
113,Mason Plumlee,32,2TM,C,79,60,2054,7.7,11.3,0.68,0.0,0.0,,7.7,11.3,0.68,0.68,4.6,7.3,0.636,5.3,11.0,16.3,5.7,1.1,1.1,2.7,5.1,20.0,134,114,,plumlma01,26.0,Center,0.0,0.646,0.689,2.111,0.249,1.378,2.2,0.325
114,Mason Plumlee,32,CHO,C,56,56,1597,7.9,11.8,0.669,0.0,0.0,,7.9,11.8,0.669,0.669,4.6,7.6,0.605,5.6,10.6,16.1,6.1,1.0,1.0,2.6,4.8,20.4,133,114,,plumlma01,28.518,Center,0.0,0.644,0.674,2.346,0.256,1.347,2.0,0.346
115,Mason Plumlee,32,LAC,C,23,4,457,6.9,9.4,0.727,0.0,0.0,,6.9,9.4,0.727,0.727,4.7,6.1,0.772,4.5,12.5,17.0,4.3,1.2,1.3,3.2,6.0,18.4,136,111,,plumlma01,19.87,Center,0.0,0.649,0.761,1.344,0.22,1.523,2.5,0.265
116,Grant Williams,24,BOS,PF,79,23,2045,5.1,11.3,0.454,2.7,6.9,0.395,2.4,4.4,0.546,0.575,2.2,2.9,0.77,2.1,6.6,8.7,3.1,1.0,0.7,2.0,4.6,15.3,118,113,,willigr01,25.886,Forward,0.611,0.257,0.608,1.55,0.175,1.217,1.7,0.241
117,Deandre Ayton,24,PHO,C,67,67,2035,12.5,21.3,0.589,0.2,0.6,0.292,12.4,20.7,0.597,0.592,3.7,4.8,0.76,4.1,11.9,16.0,2.8,0.9,1.3,2.9,4.6,28.9,119,111,,aytonde01,30.373,Center,0.028,0.225,0.617,0.966,0.096,1.234,2.2,0.256
118,Mike Conley,35,2TM,PG,67,66,2029,6.1,14.3,0.428,3.2,8.2,0.385,3.0,6.1,0.486,0.539,3.3,4.0,0.834,0.8,3.5,4.3,10.6,1.7,0.3,2.4,3.3,18.7,125,118,,conlemi01,30.284,Guard,0.573,0.28,0.582,4.417,0.365,1.164,2.0,0.186
119,Mike Conley,35,UTA,PG,43,42,1276,5.7,14.0,0.408,2.9,8.0,0.362,2.8,6.1,0.469,0.511,2.9,3.6,0.813,0.6,3.4,4.0,12.4,1.6,0.4,2.8,3.5,17.3,123,119,,conlemi01,29.674,Guard,0.571,0.257,0.555,4.429,0.403,1.11,2.0,0.15
120,Mike Conley,35,MIN,PG,24,24,753,6.8,14.8,0.46,3.7,8.7,0.42,3.2,6.1,0.515,0.583,4.0,4.6,0.863,1.0,3.7,4.7,7.6,1.8,0.3,1.8,2.8,21.3,130,116,,conlemi01,31.375,Guard,0.588,0.311,0.633,4.222,0.29,1.266,2.1,0.213
121,Giannis Antetokounmpo,28,MIL,PF,63,63,2024,16.7,30.1,0.553,1.1,4.0,0.275,15.6,26.1,0.596,0.572,11.7,18.2,0.645,3.2,14.3,17.5,8.5,1.2,1.2,5.8,4.6,46.2,117,108,MVP-3DPOY-6ASNBA1,antetgi01,32.127,Forward,0.133,0.605,0.606,1.466,0.162,1.212,2.4,0.183
122,Kevin Porter Jr.,22,HOU,PG,59,59,2024,9.4,21.2,0.442,3.4,9.2,0.366,6.0,12.0,0.501,0.522,5.0,6.3,0.784,1.8,5.7,7.5,8.1,2.0,0.4,4.5,3.7,27.1,112,120,,porteke02,34.305,Guard,0.434,0.297,0.565,1.8,0.221,1.13,2.4,0.24
